# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1172
#@/user_id	662381a1-8689-44f9-85f4-86de7606dd45
a 	啊	c=4 d=1.35211 t=1172
an jian 	案件	c=2 d=0.306956 t=1172
an jing 	安靜	c=1 d=0.141564 t=1172
an mo 	按摩	c=1 d=0.0925506 t=1172
an ye 	暗夜	c=1 d=0.0939493 t=1172
an zhao 	按照	c=3 d=0.448568 t=1172
ba 	吧	c=7 d=1.1938 t=1172
ba 	把	c=5 d=1.32511 t=1172
ba 	爸	c=1 d=0.063609 t=1172
ban 	搬	c=0 d=0.0377192 t=1172
ban ben 	版本	c=5 d=0.895636 t=1172
ban deng zi 	搬凳子	c=1 d=0.379083 t=1172
ban ge xiao shi 	半個小時	c=1 d=0.273898 t=1172
bang 	幫	c=1 d=0.119433 t=1172
bang bang 	幫幫	c=1 d=0.697676 t=1172
bao 	寶	c=2 d=1.00588 t=1172
bao bao 	寶寶	c=5 d=1.04133 t=1172
bao xiao 	報銷	c=1 d=0.806541 t=1172
bei zhu 	備註	c=1 d=0.112478 t=1172
bi 	幣	c=1 d=0.102284 t=1172
bi 	比	c=2 d=0.600496 t=1172
bi jiao 	比較	c=1 d=0.543351 t=1172
bi ru 	比如	c=1 d=0.782705 t=1172
bian cheng 	變成	c=1 d=0.479505 t=1172
bian ji qi 	編輯器	c=1 d=0.384812 t=1172
bie 	別	c=1 d=0.0867261 t=1172
bing you 	病友	c=1 d=0.99005 t=1172
bu 	不	c=1 d=0.0992613 t=1172
bu 	補	c=1 d=0.0599047 t=1172
bu 	部	c=1 d=0.704688 t=1172
bu fang 	不放	c=0 d=0.0263158 t=1172
bu fang ren 	不放人	c=1 d=0.264477 t=1172
bu gan 	不敢	c=0 d=0.0941765 t=1172
bu hao yi si 	不好意思	c=1 d=0.733447 t=1172
bu hui 	不會	c=1 d=0.311923 t=1172
bu lai 	不來	c=1 d=0.367879 t=1172
bu ran 	不然	c=1 d=0.276651 t=1172
bu tong 	不同	c=2 d=0.434189 t=1172
bu yi yang 	不一樣	c=1 d=0.398519 t=1172
bu zhi dao 	不知道	c=2 d=0.134226 t=1172
cai 	才	c=1 d=0.843665 t=1172
cai shuo 	才說	c=1 d=0.092089 t=1172
cai yong 	採用	c=1 d=0.499074 t=1172
can guan 	參觀	c=1 d=0.0953692 t=1172
can kao 	參考	c=1 d=0.579842 t=1172
can yu 	參與	c=2 d=1.3078 t=1172
ce 	測	c=1 d=0.136695 t=1172
ce chu 	測出	c=1 d=0.23457 t=1172
ce lve 	策略	c=6 d=0.823322 t=1172
ce shi 	測試	c=1 d=0.421052 t=1172
ce wan 	測玩	c=1 d=0.13466 t=1172
ceng 	曾	c=1 d=0.715338 t=1172
cha jian 	插件	c=1 d=0.0724398 t=1172
chai dan 	拆單	c=1 d=0.131994 t=1172
chan pin 	產品	c=1 d=0.519442 t=1172
chan shi 	鏟屎	c=1 d=0.794534 t=1172
chang di 	場地	c=1 d=0.336216 t=1172
chao feng 	嘲諷	c=1 d=0.280832 t=1172
chao sheng bo 	超聲波	c=1 d=0.278037 t=1172
cheng 	成	c=1 d=0.831104 t=1172
cheng 	誠	c=2 d=1.23529 t=1172
chi you 	持有	c=1 d=0.151072 t=1172
chong bang 	衝榜	c=1 d=0.082085 t=1172
chong qi 	重啓	c=1 d=0.0739031 t=1172
chong zhi 	充值	c=1 d=0.0824965 t=1172
chu qu 	出去	c=1 d=0.145876 t=1172
chuan jiang 	串講	c=2 d=1.15485 t=1172
chuan shuo 	傳說	c=1 d=0.946485 t=1172
ci dian 	詞典	c=2 d=1.3764 t=1172
ci ku 	詞庫	c=7 d=5.14134 t=1172
cong 	從	c=1 d=0.506617 t=1172
cui 	催	c=2 d=1.69312 t=1172
cui shou 	催收	c=6 d=1.18729 t=1172
cui shou yuan 	催收員	c=3 d=0.481088 t=1172
cuo wu 	錯誤	c=1 d=0.264477 t=1172
da 	大	c=1 d=0.647265 t=1172
da 	打	c=0 d=0.0231078 t=1172
da bu kai 	打不開	c=1 d=0.0761538 t=1172
da cuo zi 	打錯字	c=1 d=0.318224 t=1172
da dian hua 	打電話	c=3 d=0.621137 t=1172
da e 	大額	c=1 d=0.267135 t=1172
da gai 	大概	c=1 d=0.932394 t=1172
da guo 	打過	c=1 d=0.146607 t=1172
da lao 	大佬	c=1 d=0.289384 t=1172
da shi da fei 	大是大非	c=1 d=0.0824965 t=1172
da xue 	大學	c=1 d=0.18452 t=1172
da yi xia 	打一下	c=1 d=0.232236 t=1172
da yin ji 	打印機	c=1 d=0.70822 t=1172
dai 	待	c=1 d=0.183599 t=1172
dai hui er 	待會兒	c=1 d=0.111359 t=1172
dai lai 	帶來	c=1 d=0.594521 t=1172
dan chun 	單純	c=1 d=0.263158 t=1172
