# Rime user dictionary
#@/db_name	luna_pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	134834
#@/user_id	662381a1-8689-44f9-85f4-86de7606dd45
a 	啊	c=680 d=1.29485 t=134775
a 	阿	c=4 d=1 t=128791
a da 	阿達	c=0 d=0.1 t=40892
a da fen fa dao 	阿達分發到	c=1 d=1 t=40893
a gen ting 	阿根廷	c=1 d=1 t=129189
a ha 	啊哈	c=1 d=0.1 t=117746
a ha ha 	啊哈哈	c=2 d=1 t=110881
a ke 	阿珂	c=9 d=1.68045 t=124982
a la si jia 	阿拉斯加	c=1 d=1 t=95201
a li 	阿里	c=61 d=1.00004 t=134684
a li 	阿離	c=14 d=1.97531 t=131831
a li a li 	阿離阿離	c=1 d=1 t=43428
a li ba ba 	阿里巴巴	c=1 d=1 t=103781
a li bei jing 	阿里北京	c=1 d=1 t=22503
a li xing 	阿里星	c=1 d=1 t=127837
a li yun 	阿里云	c=8 d=1 t=125024
a lu ba 	阿魯巴	c=4 d=3.58806 t=39226
a man 	阿瞞	c=1 d=1 t=116369
a mao 	阿毛	c=1 d=1 t=26420
a mei 	阿美	c=2 d=1.89583 t=128816
a miao 	阿淼	c=1 d=1 t=67428
a niu bi 	啊牛比	c=1 d=1 t=124836
a pei 	啊呸	c=1 d=1 t=81004
a shi da fu 	啊士大夫	c=20 d=16.6593 t=40947
a shi da fu sa dian fan guo dian fan guo 	啊士大夫撒電飯鍋電飯鍋	c=1 d=1 t=40885
a si dun 	阿斯頓	c=4 d=3.75529 t=40938
a si dun su dan da fo dian fan guo 	阿斯頓蘇丹達佛電飯鍋	c=1 d=1 t=40930
a xing 	阿星	c=11 d=1 t=134255
a xing ge 	阿星哥	c=1 d=1 t=122731
a yi 	阿姨	c=15 d=1 t=123140
ad 	ad	c=1 d=1 t=120995
ai 	唉	c=26 d=1.03819 t=134123
ai 	愛	c=18 d=1.98087 t=134821
ai 	捱	c=8 d=1 t=132932
ai 	矮	c=1 d=1 t=92680
ai 	艾	c=0 d=0.1 t=114883
ai bi li 	艾比利	c=1 d=1 t=114884
ai chi 	愛吃	c=1 d=1 t=77970
ai da 	捱打	c=4 d=1.00022 t=129158
ai de 	愛得	c=2 d=1 t=83084
ai guo 	愛過	c=0 d=0.1 t=24296
ai guo tou 	愛過頭	c=1 d=1 t=24297
ai hao 	愛好	c=1 d=1 t=75999
ai ji 	埃及	c=1 d=1 t=81152
ai ma 	捱罵	c=1 d=1 t=18001
ai mian zi 	愛面子	c=1 d=1 t=90373
ai ni 	愛你	c=8 d=2.98506 t=110592
ai qi yi 	爱奇艺	c=2 d=1 t=111353
ai qing 	愛情	c=3 d=1 t=85855
ai shang 	愛上	c=3 d=1 t=122218
ai te 	艾特	c=1 d=1 t=106183
ai xin 	愛心	c=7 d=6.47818 t=72155
ai ya 	唉呀	c=4 d=1 t=81415
ai yao 	哎喲	c=1 d=1 t=17688
ai yi gu 	愛一股	c=2 d=1.8825 t=132008
ai you 	哎呦	c=1 d=1 t=72439
ai zhe 	挨着	c=1 d=1 t=133628
ai zou 	捱揍	c=2 d=1 t=85291
an 	安	c=3 d=1 t=95697
an 	按	c=39 d=1 t=127667
an 	暗	c=1 d=1 t=13577
an 	案	c=1 d=1 t=109023
an bing bu dong 	按兵不動	c=1 d=1 t=108679
an dian 	鞍點	c=1 d=1 t=24550
an fang 	安防	c=3 d=1 t=100253
an fu 	安撫	c=6 d=1 t=134286
an hao 	暗號	c=1 d=1 t=4869
an hei 	暗黑	c=2 d=1.99005 t=61460
an jia ge 	按价格	c=1 d=1 t=46474
an jian 	按鍵	c=1 d=1 t=60076
an jian 	案件	c=13 d=2.72506 t=38059
an jing 	安靜	c=2 d=1 t=114191
an lao shi 	安老师	c=3 d=1 t=89543
an lie 	按列	c=1 d=1 t=8591
an mo 	按摩	c=1 d=1 t=15456
an mo 	按模	c=1 d=1 t=31422
an mo yi 	按摩椅	c=1 d=1 t=69163
an nian 	按年	c=1 d=1 t=32149
an niu 	按鈕	c=2 d=1 t=120001
an pai 	安排	c=53 d=1.27483 t=122884
an ping 	胺瓶	c=1 d=1 t=95991
an qi la 	安琪拉	c=10 d=1.89909 t=111214
an quan 	安全	c=16 d=1.24001 t=133331
an quan xing 	安全性	c=1 d=1 t=129854
an ran shi se 	黯然失色	c=1 d=1 t=12928
an shang 	暗傷	c=1 d=1 t=97036
an shi 	暗示	c=2 d=1 t=103456
an shun xu 	按順序	c=1 d=1 t=46468
an tian 	按天	c=2 d=1.00005 t=58335
an wo shuo 	按我說	c=1 d=1 t=1227
an xian 	暗線	c=1 d=1 t=22229
an xin 	安心	c=5 d=1 t=130333
an xin 	暗信	c=1 d=1 t=43732
